Segmento,Segmento 1,Nome_Fantasia,Tel 1 ,Tel 2 ,Tel 3,Tel 4 ,Tel 5 ,Tel 6,E-mail ,Contato ,Rua ,Bairro ,Municipio ,UF ,CEP,ROTERIZAÇÃO ,Finalização ,__PowerAppsId__
"TECNOLOGIA DA INFORMAÇÃO ","TECNOLOGIA DA INFORMAÇÃO","PC Fix Informática
	
	","99804-5068","96463-8111","2524-4466","2524-4321","3529-3495","4108-4485",,,"Rua Senador Dantas, 71/1602","Centro","RIO DE JANEIRO","RJ ","20031-205","-22.90999730476935, -43.17788314531642",,"tNBNykotkY8"
"TECNOLOGIA DA INFORMAÇÃO ","TECNOLOGIA DA INFORMAÇÃO","Supriweb"," (21) 3262-6800","(21) 3172-6800
",,,,,"contato@supriweb.com.br",,"Avenida Presidente Vargas, 542, Sala1104","Centro ","RIO DE JANEIRO","RJ ","20071-000","-22.9012585231348, -43.1812705759995",,"LuxLeEPBqMU"
"TECNOLOGIA DA INFORMAÇÃO ","TECNOLOGIA DA INFORMAÇÃO","VT Informática","(21) 96500-0085",,,,,,,,"Estr. Manoel de Sá, 139 - Loja 7"," Lote XV","BELFORD ROXO"," RJ","26182-000","-22.713818765241196, -43.32646128765062",,"ptywHSCp8KQ"
"TECNOLOGIA DA INFORMAÇÃO ","TECNOLOGIA DA INFORMAÇÃO","Eletrobel Informatica","(21) 2761-4983",,,,,,,,"Av. Benjamin Pinto Dias, 1372, Lj E","Centro","BELFORD ROXO"," RJ","26130-000","-22.76351273564192, -43.4013030741554",,"9LnQQiyZqpQ"
"TECNOLOGIA DA INFORMAÇÃO ","TECNOLOGIA DA INFORMAÇÃO","peopleinfo","(21) 98905-9940",,,,,,,,"Av. Automóvel Clube, 339, Lote 04 Quadra E","Jardim Gláucia","BELFORD ROXO"," RJ","26196-030","-22.753500047925574, -43.36159026286467",,"8WU_zmdvpxA"
"TECNOLOGIA DA INFORMAÇÃO ","TECNOLOGIA DA INFORMAÇÃO","Technogama Informática - Belford Roxo","(21) 97113-9824",,,,,,,,"Avenida Jorge Julio da Costa dos Santos,  N° 200 - Lojas 08 - 09 - 10","Centro","BELFORD ROXO"," RJ","26130-971","-22.778548190504402, -43.40361163643205",,"4CrC9ubDRYw"
"TECNOLOGIA DA INFORMAÇÃO ","TECNOLOGIA DA INFORMAÇÃO","Gladius Informática","(21) 2220-0513","(21) 97262-1939",,,,,,,"Av Rio Branco 156 loja 208 st 01","Centro","RIO DE JANEIRO"," RJ","20040-003","-22.907598563371096, -43.17740437415182",,"J7cyQl5M5sM"
"TECNOLOGIA DA INFORMAÇÃO ","TECNOLOGIA DA INFORMAÇÃO","TSINFO COMÉRCIO DE INFORMÁTICA","(21) 2524-0841",,,,,,,,"Av. Rio Branco, 185","Centro","RIO DE JANEIRO"," RJ","20040-902","-22.90735810982553, -43.176522289493455",,"yCKgwec4AC0"
"TECNOLOGIA DA INFORMAÇÃO ","TECNOLOGIA DA INFORMAÇÃO","Compo Lass Informática"," (21) 2220-9538",,,,,,,," Av. Rio Branco, 156"," Centro","RIO DE JANEIRO"," RJ","20040-003","-22.906750133616182, -43.17767256065793",,"SDpInvod8yc"
"TECNOLOGIA DA INFORMAÇÃO ","TECNOLOGIA DA INFORMAÇÃO","ATACADÃO DOS MICROS","(21) 99583-2082",,,,,,,,"Av. Rio Branco 156 galeria 222 st 04"," Centro","RIO DE JANEIRO"," RJ","20040-003","-22.906631510513492, -43.17723267858613",,"bSlF0E_AntY"
